Positive Sentiment,Negative Sentiment,Objective Sentiment,Female Orientation,Male Orientation,Filename,Number of Words,Number of Paragraphs,Relative Punctuation,Average Words per Sentence,Unnamed: 0,Number of Sentences,Number of Dialogs,Number of Sentences with Dialogs,Number of Named People,Number of Named Places,Number of Named Organizations,filenames
0.06958313613067509,0.07114469799800646,0.8592721658713184,355.0,2719.0,pg10067.epub,68757,2282,0.17538577890251175,12.858986347484569,0,2283,2476.5,1649,114,71,28,pg10067.epub
0.07884373264260823,0.07337750925061183,0.8477787581067799,206.0,893.0,pg1032.epub,17776,267,0.11976822682268227,17.444553483807656,1,268,337.0,251,21,25,8,pg1032.epub
0.079450603033407,0.08308717813114957,0.8374622188354442,4673.0,5753.0,pg10379.epub,151734,3509,0.15289915246418073,16.287462430227567,2,3510,3265.0,2087,145,115,44,pg10379.epub
0.0578168969359337,0.06615890234833785,0.8760242007157283,761.0,3572.0,pg10473.epub,89228,3331,0.1621576186847178,9.886759002770082,3,3332,3644.5,2619,173,59,37,pg10473.epub
0.08662404672792583,0.09167807463353514,0.8216978786385386,473.0,547.0,pg10812.epub,17883,471,0.13951797796790247,16.760074976569822,4,472,341.0,264,14,13,7,pg10812.epub
0.08191332479960649,0.07966022510072962,0.8384264500996643,199.0,975.0,pg10826.epub,28495,251,0.12002105632567114,24.313139931740608,5,252,30.0,16,139,36,20,pg10826.epub
0.06318310537664748,0.07490934093009961,0.8619075536932522,568.0,1361.0,pg10943.epub,41143,1251,0.16406193034051966,11.327918502202644,6,1252,1314.0,851,68,75,14,pg10943.epub
0.06814909657019973,0.047499994549044494,0.8843509088807571,1942.0,3037.0,pg11004.epub,72652,2607,0.1617711831745857,8.152154398563733,7,2608,3043.0,2300,345,255,152,pg11004.epub
0.06842668601399214,0.050773688383875366,0.8807996256021334,1754.0,3431.0,pg11005.epub,65046,2414,0.16402238415890294,7.58111888111888,8,2415,2942.0,2087,210,162,81,pg11005.epub
0.07161891250474675,0.06957613720108359,0.8588049502941705,2409.0,1321.0,pg11259.epub,68482,2949,0.17061417598785086,8.7752434648898,9,2950,3149.0,2320,155,49,29,pg11259.epub
0.07062600027331949,0.08755822184792199,0.8418157778787585,4501.0,1724.0,pg11280.epub,80126,1078,0.1549684247310486,23.94680215182307,10,1079,1352.5,795,77,47,22,pg11280.epub
0.07695926716593242,0.08380341463825854,0.8392373181958102,4194.0,4884.0,pg11520.epub,103001,3301,0.14761021737653032,9.489681223512068,11,3302,3556.0,2419,71,22,13,pg11520.epub
0.08169001348187695,0.08279272015635968,0.8355172663617622,2520.0,2288.0,pg11581.epub,72543,1805,0.15003515156527852,14.862323294406885,12,1806,1708.0,1174,73,57,36,pg11581.epub
0.07542349273318448,0.08067780521191498,0.8438987020549017,2662.0,3848.0,pg11655.epub,113733,1934,0.1253110354954147,15.530929946743138,13,1935,1518.5,1135,181,172,54,pg11655.epub
0.08703604153551919,0.08060707547241938,0.832356882992062,1902.0,3251.0,pg11674.epub,90421,1352,0.11102509372822683,14.631229773462785,14,1353,816.5,582,150,157,67,pg11674.epub
0.07577509448247123,0.08648535875123309,0.8377395467662956,179.0,1024.0,pg1190.epub,14588,123,0.14436523169728546,26.05,15,124,178.0,112,5,10,0,pg1190.epub
0.08426511550206117,0.08163018344531857,0.834104701052621,669.0,619.0,pg1193.epub,23013,319,0.11228436101334027,17.70230769230769,16,320,386.0,299,24,31,12,pg1193.epub
0.06674530946222651,0.0561630970107664,0.8770915935270074,4.0,179.0,pg11931.epub,5542,122,0.13839769036448935,14.432291666666664,17,123,119.0,92,31,21,12,pg11931.epub
0.09161306149372987,0.10135789345385536,0.8070290450524138,3639.0,3656.0,pg11970.epub,90129,2398,0.16998968145657892,15.039045553145337,18,2399,2293.5,1531,119,56,23,pg11970.epub
0.07040444072814753,0.0648371126143469,0.8647584466575053,864.0,2786.0,pg12102.epub,70829,2413,0.16693727145660675,12.44579160077315,19,2414,2307.0,1785,208,96,26,pg12102.epub
0.05543832986327745,0.07015258460796116,0.8744090855287621,1023.0,7305.0,pg1218.epub,162696,2946,0.14921079805281015,15.634826061887374,20,2947,2491.0,1464,184,87,45,pg1218.epub
0.05730856534248504,0.07363923628936854,0.8690521983681471,893.0,1030.0,pg12181.epub,23931,607,0.10442522251472984,14.270125223613595,21,608,7.0,4,56,9,7,pg12181.epub
0.07519446322753551,0.08368405375750004,0.8411214830149641,3740.0,6559.0,pg12303.epub,156729,3452,0.1506996152594606,19.025127458120906,22,3453,3332.5,2308,195,95,35,pg12303.epub
0.07529956137062559,0.10667383007150594,0.8180266085578655,630.0,2160.0,pg12304.epub,88586,2179,0.18683539159686632,14.979032803517079,23,2180,2573.5,1530,99,60,34,pg12304.epub
0.07803052857781523,0.09168281781013576,0.8302866536120489,6771.0,5428.0,pg12360.epub,114182,3289,0.1248883361650698,10.219457621050747,24,3290,3051.0,2057,56,27,16,pg12360.epub
